ax,ay,az,qw,qx,qy,qz,droll,dpitch,dyaw,heart,Scenario_Label,Fall
-0.045,0.145,0.01,-0.7146,0.2144,-0.4979,0.4419,-51.0,14.7,51.6,0,bed,0
-0.028,0.207,-0.031,-0.7099,0.227,-0.4984,0.4425,-72.5,15.8,57.1,0,bed,0
-0.071,0.079,-0.096,-0.7036,0.2433,-0.5003,0.4418,-86.8,19.7,62.1,0,bed,0
-0.052,-0.04,-0.101,-0.6964,0.2614,-0.5017,0.4414,-74.7,22.8,64.7,1023,bed,0
-0.041,-0.061,-0.084,-0.6898,0.2774,-0.5007,0.4431,-48.3,25.9,69.8,1023,bed,0
-0.036,-0.013,-0.079,-0.6841,0.2911,-0.497,0.4473,-29.2,29.2,76.7,1023,bed,0
-0.065,0.024,-0.12,-0.6786,0.3042,-0.4916,0.4529,-23.4,33.5,83.2,1023,bed,0
-0.06,-0.145,-0.199,-0.6742,0.3156,-0.4841,0.4597,2.1,36.3,81.1,1023,bed,0
-0.044,-0.132,-0.094,-0.6721,0.3226,-0.4736,0.4687,34.7,37.7,76.7,1023,bed,0
-0.057,0.082,-0.048,-0.6707,0.3278,-0.4614,0.4792,43.5,39.1,80.1,1023,bed,0
-0.112,0.052,-0.016,-0.6694,0.3331,-0.4481,0.4898,46.0,40.3,79.0,1023,bed,0
-0.117,-0.031,0.124,-0.6688,0.3361,-0.4342,0.501,66.5,35.2,76.2,1023,bed,0
-0.12,-0.028,0.12,-0.6695,0.3352,-0.4188,0.5136,91.5,34.1,71.6,1023,bed,0
-0.099,-0.008,-0.034,-0.6716,0.3317,-0.4005,0.5275,114.2,39.9,71.0,1023,bed,0
-0.061,-0.051,-0.125,-0.6751,0.3267,-0.3797,0.5414,135.3,50.8,67.1,1023,bed,0
-0.116,-0.023,0.099,-0.6799,0.3196,-0.356,0.5556,143.7,50.3,65.0,1023,bed,0
-0.103,-0.04,0.261,-0.6843,0.3111,-0.333,0.5691,139.6,44.8,61.2,1023,bed,0
-0.071,-0.062,0.293,-0.6878,0.303,-0.3115,0.5813,120.1,41.7,57.6,1023,bed,0
-0.063,-0.15,0.261,-0.6894,0.2985,-0.2938,0.5909,67.0,37.5,49.9,1023,bed,0
-0.082,-0.17,0.237,-0.6885,0.2996,-0.2829,0.5966,12.2,28.3,38.9,0,bed,0
-0.121,-0.082,0.287,-0.6855,0.3043,-0.2792,0.5994,-23.4,11.7,28.8,0,bed,0
-0.099,0.064,0.215,-0.6813,0.3102,-0.2812,0.6003,-48.9,-1.5,19.1,0,bed,0
-0.06,0.086,0.116,-0.6763,0.3177,-0.2874,0.5991,-69.5,-5.2,9.0,0,bed,0
-0.042,0.073,0.097,-0.6717,0.3255,-0.2943,0.5967,-69.7,-4.2,2.8,0,bed,0
-0.019,0.117,0.02,-0.6676,0.3328,-0.3007,0.594,-70.0,-1.1,2.6,0,bed,0
0.008,0.03,-0.074,-0.6631,0.3412,-0.3079,0.5906,-73.4,0.2,3.5,0,bed,0
-0.027,-0.158,-0.145,-0.6587,0.3491,-0.3144,0.5875,-49.2,-0.9,4.4,0,bed,0
-0.064,-0.083,-0.232,-0.6559,0.3531,-0.3182,0.5862,-28.0,-4.8,3.7,0,bed,0
-0.054,-0.199,-0.183,-0.6538,0.3557,-0.3219,0.585,-31.5,-8.7,-3.0,0,bed,0
-0.016,0.01,-0.013,-0.6512,0.3582,-0.3267,0.5837,-29.4,-13.5,0.4,0,bed,0
-0.011,0.174,0.013,-0.6478,0.3613,-0.3318,0.5827,-55.4,-12.9,4.1,0,bed,0
-0.002,0.081,0.013,-0.6428,0.3671,-0.3385,0.5807,-66.1,-9.1,7.4,0,bed,0
0.007,-0.038,-0.002,-0.6378,0.3735,-0.3446,0.5785,-49.8,-3.2,8.8,0,bed,0
-0.014,-0.086,-0.023,-0.6338,0.3789,-0.3485,0.5771,-35.8,-0.7,10.3,0,bed,0
-0.024,-0.067,-0.02,-0.6305,0.3832,-0.3512,0.5762,-25.9,-1.6,8.5,0,bed,0
-0.037,0.0,-0.032,-0.6277,0.3864,-0.3535,0.5757,-23.9,-4.0,5.5,1023,bed,0
-0.036,-0.016,-0.056,-0.625,0.3895,-0.3563,0.5749,-26.4,-4.9,1.8,1023,bed,0
-0.015,-0.06,-0.088,-0.6227,0.3922,-0.3594,0.5737,-17.2,-4.4,0.4,1023,bed,0
-0.01,-0.03,-0.064,-0.6214,0.3934,-0.3609,0.5732,-0.6,-2.6,2.0,1023,bed,0
-0.009,0.006,-0.016,-0.621,0.3933,-0.3608,0.5738,5.7,-1.2,3.4,1023,bed,0
-0.009,0.012,0.006,-0.621,0.3929,-0.36,0.5747,5.6,-0.5,3.8,1023,bed,0
-0.012,0.019,0.008,-0.621,0.3925,-0.359,0.5754,4.6,0.8,2.6,1023,bed,0
-0.016,0.012,-0.001,-0.6211,0.3924,-0.3583,0.5759,2.9,1.2,1.5,1023,bed,0
-0.013,0.003,-0.013,-0.6212,0.3924,-0.3578,0.5761,2.7,0.9,0.1,1023,bed,0
-0.013,-0.001,-0.023,-0.6215,0.3922,-0.3573,0.5763,6.1,0.6,-0.1,1023,bed,0
-0.016,0.014,-0.005,-0.6219,0.3917,-0.3565,0.5767,5.9,0.0,0.1,1023,bed,0
-0.015,0.017,-0.004,-0.6221,0.3912,-0.3559,0.5771,3.7,-0.1,0.7,1023,bed,0
-0.019,0.019,0.002,-0.6222,0.391,-0.3555,0.5775,1.7,-0.3,0.9,1023,bed,0
-0.016,0.02,0.007,-0.622,0.391,-0.3553,0.5778,-1.8,-0.5,0.7,1023,bed,0
-0.021,0.017,0.002,-0.6217,0.3914,-0.3555,0.5778,-4.6,-0.6,0.2,1023,bed,0
-0.019,0.015,-0.007,-0.6211,0.392,-0.356,0.5776,-6.3,-0.8,0.1,1023,bed,0
-0.014,0.005,-0.015,-0.6206,0.3927,-0.3566,0.5773,-4.8,-0.7,-0.1,1023,bed,0
-0.012,-0.001,-0.019,-0.6202,0.3933,-0.357,0.5771,-2.6,-0.5,-0.3,0,bed,0
-0.01,0.008,-0.006,-0.6199,0.3935,-0.3573,0.577,-1.8,-0.5,0.0,0,bed,0
-0.01,0.012,-0.001,-0.6197,0.3938,-0.3576,0.577,-2.6,-0.4,0.0,0,bed,0
-0.009,0.008,-0.004,-0.6194,0.3941,-0.3578,0.5768,-2.9,-0.1,0.1,0,bed,0
-0.011,0.01,-0.001,-0.6192,0.3945,-0.3581,0.5767,-3.6,0.0,0.0,0,bed,0
-0.01,0.013,-0.009,-0.6188,0.395,-0.3585,0.5765,-5.0,0.0,-0.1,0,bed,0
-0.008,0.013,-0.007,-0.6184,0.3957,-0.359,0.5761,-5.9,-0.1,-0.2,0,bed,0
-0.007,0.013,-0.008,-0.6179,0.3964,-0.3596,0.5757,-7.5,-0.2,0.0,0,bed,0
-0.007,0.006,-0.013,-0.6174,0.3972,-0.3604,0.5753,-7.1,-0.5,0.2,0,bed,0
-0.007,0.0,-0.008,-0.6167,0.398,-0.3611,0.575,-5.8,-0.5,0.4,0,bed,0
-0.015,0.004,-0.011,-0.6162,0.3987,-0.3616,0.5748,-5.5,-0.6,0.5,0,bed,0
-0.006,0.0,-0.009,-0.6157,0.3993,-0.3622,0.5746,-5.5,-0.5,0.3,0,bed,0
-0.009,0.002,-0.017,-0.6151,0.4,-0.3627,0.5743,-4.7,-0.4,0.2,0,bed,0
-0.013,0.009,-0.021,-0.6147,0.4005,-0.3631,0.5741,-2.2,-0.3,0.3,0,bed,0
-0.011,-0.002,-0.015,-0.6145,0.4008,-0.3633,0.5741,0.0,0.0,0.0,0,bed,0
-0.011,-0.016,-0.021,-0.6146,0.4007,-0.363,0.5742,6.0,0.5,0.1,0,bed,0
-0.009,-0.007,-0.028,-0.6153,0.3998,-0.3619,0.5748,16.2,1.3,0.2,0,bed,0
-0.009,-0.004,-0.024,-0.6166,0.3982,-0.3599,0.5758,20.5,1.8,0.2,1023,bed,0
-0.013,-0.003,-0.015,-0.618,0.3963,-0.3577,0.5769,21.2,2.2,-0.2,1023,bed,0
-0.008,0.004,-0.005,-0.6196,0.3944,-0.3553,0.5781,20.7,2.3,-0.2,1023,bed,0
-0.008,0.012,-0.005,-0.6211,0.3924,-0.353,0.5792,20.3,2.3,-0.1,1023,bed,0
-0.011,0.019,0.004,-0.6226,0.3905,-0.3507,0.5803,19.3,2.1,0.1,1023,bed,0
-0.012,0.035,0.015,-0.6239,0.3888,-0.3485,0.5813,14.2,1.4,0.2,1023,bed,0
-0.009,0.04,0.022,-0.6247,0.3876,-0.3471,0.5821,6.9,0.7,0.2,1023,bed,0
-0.009,0.029,0.009,-0.6251,0.387,-0.3463,0.5825,2.9,0.1,0.2,1023,bed,0
-0.006,0.022,0.0,-0.6252,0.3869,-0.3461,0.5827,-1.0,-0.1,0.2,1023,bed,0
-0.006,0.016,-0.004,-0.6249,0.3872,-0.3463,0.5826,-3.8,-0.5,0.3,1023,bed,0
-0.006,0.01,-0.007,-0.6246,0.3876,-0.3467,0.5825,-4.1,-0.9,0.2,1023,bed,0
-0.006,-0.004,-0.01,-0.6242,0.388,-0.3471,0.5824,-2.0,-0.8,0.2,1023,bed,0
0.002,-0.015,-0.013,-0.624,0.3881,-0.3473,0.5824,0.8,-0.7,0.0,1023,bed,0
-0.008,-0.006,-0.022,-0.624,0.3881,-0.3472,0.5825,2.1,0.0,0.2,1023,bed,0
-0.012,-0.006,-0.022,-0.6241,0.388,-0.3469,0.5827,4.3,0.3,-0.1,1023,bed,0
-0.004,0.0,-0.013,-0.6244,0.3876,-0.3463,0.5829,6.6,0.6,-0.1,1023,bed,0
-0.002,0.01,0.0,-0.6249,0.3869,-0.3456,0.5832,6.8,0.7,0.0,1023,bed,0
-0.007,0.022,0.003,-0.6253,0.3863,-0.3448,0.5836,4.6,0.4,0.0,0,bed,0
-0.007,0.024,0.002,-0.6256,0.386,-0.3443,0.5839,1.8,0.0,0.1,0,bed,0
-0.009,0.021,0.007,-0.6256,0.3859,-0.3442,0.584,-1.2,-0.2,0.1,0,bed,0
-0.007,0.013,-0.002,-0.6255,0.3861,-0.3443,0.584,-1.9,-0.3,0.1,0,bed,0
-0.006,0.01,-0.007,-0.6253,0.3863,-0.3445,0.5839,-2.7,-0.4,0.2,0,bed,0
-0.005,0.008,-0.015,-0.625,0.3867,-0.3448,0.5838,-3.1,-0.2,0.1,0,bed,0
-0.002,0.002,-0.014,-0.6247,0.387,-0.3451,0.5836,-2.0,-0.1,0.1,0,bed,0
-0.005,0.0,-0.01,-0.6245,0.3873,-0.3453,0.5836,-0.8,0.0,0.1,0,bed,0
-0.004,0.006,-0.006,-0.6244,0.3874,-0.3454,0.5836,-0.5,-0.1,0.2,0,bed,0
-0.009,0.007,-0.01,-0.6244,0.3875,-0.3453,0.5836,0.7,0.0,0.0,0,bed,0
-0.01,0.014,0.0,-0.6244,0.3875,-0.3452,0.5837,0.5,0.0,0.0,0,bed,0
-0.003,0.015,-0.001,-0.6244,0.3875,-0.3451,0.5837,0.0,0.0,0.0,0,bed,0
-0.003,0.013,-0.002,-0.6243,0.3876,-0.3452,0.5837,-1.2,-0.1,0.0,0,bed,0
-0.006,0.012,-0.003,-0.6242,0.3877,-0.3453,0.5836,-1.4,-0.2,0.0,0,bed,0
-0.008,0.01,-0.007,-0.6241,0.3879,-0.3454,0.5836,-2.2,-0.2,0.0,0,bed,0
-0.008,0.008,-0.007,-0.6239,0.3882,-0.3457,0.5834,-2.7,-0.1,-0.1,0,bed,0
-0.005,0.007,-0.007,-0.6236,0.3885,-0.346,0.5833,-2.7,-0.1,0.0,0,bed,0
-0.005,0.009,-0.006,-0.6234,0.3889,-0.3462,0.5831,-2.5,-0.2,0.0,1023,bed,0
-0.003,0.007,-0.008,-0.6232,0.3891,-0.3465,0.583,-2.3,-0.3,0.1,1023,bed,0
-0.005,0.006,-0.007,-0.623,0.3894,-0.3467,0.583,-1.3,-0.2,0.2,1023,bed,0
-0.005,0.006,-0.007,-0.6229,0.3895,-0.3468,0.5829,-0.9,-0.1,0.0,1023,bed,0
-0.002,0.01,-0.007,-0.6228,0.3896,-0.3469,0.5829,-0.6,0.0,0.0,1023,bed,0
-0.003,0.008,-0.01,-0.6228,0.3897,-0.3469,0.5829,0.0,0.0,0.0,1023,bed,0
-0.005,0.008,-0.003,-0.6228,0.3897,-0.3469,0.5829,0.0,0.0,0.0,1023,bed,0
-0.005,0.012,-0.007,-0.6227,0.3897,-0.3469,0.5829,0.0,0.0,0.0,1023,bed,0
-0.004,0.011,-0.008,-0.6227,0.3898,-0.3469,0.5829,-0.7,0.0,0.0,1023,bed,0
-0.002,0.013,-0.003,-0.6226,0.3899,-0.3469,0.5829,-0.7,0.1,0.0,1023,bed,0
-0.003,0.013,-0.006,-0.6226,0.39,-0.347,0.5828,-0.9,-0.2,0.0,1023,bed,0
-0.006,0.008,-0.008,-0.6224,0.3901,-0.3471,0.5828,-1.6,-0.2,0.1,1023,bed,0
-0.007,0.006,-0.007,-0.6222,0.3904,-0.3473,0.5828,-1.8,-0.4,0.1,1023,bed,0
-0.004,0.006,-0.011,-0.622,0.3906,-0.3475,0.5827,-0.9,-0.4,0.1,1023,bed,0
-0.001,0.006,-0.008,-0.622,0.3907,-0.3476,0.5827,0.0,0.0,0.0,1023,bed,0
0.0,0.008,-0.003,-0.6219,0.3907,-0.3476,0.5827,0.0,0.0,0.0,1023,bed,0
-0.002,0.014,-0.006,-0.622,0.3907,-0.3476,0.5827,0.0,0.0,0.0,1023,bed,0
-0.004,0.008,-0.007,-0.6219,0.3907,-0.3476,0.5827,0.0,0.0,0.0,1023,bed,0
-0.003,0.009,-0.004,-0.6219,0.3907,-0.3476,0.5827,0.0,0.0,0.0,0,bed,0
0.0,0.014,-0.002,-0.6219,0.3908,-0.3475,0.5827,0.0,0.0,0.0,0,bed,0
-0.002,0.01,-0.008,-0.6219,0.3908,-0.3475,0.5827,0.0,0.0,0.0,0,bed,0
-0.005,0.009,-0.007,-0.6219,0.3908,-0.3475,0.5827,0.0,0.0,0.0,0,bed,0
-0.002,0.008,-0.005,-0.6219,0.3908,-0.3475,0.5828,-0.5,-0.3,0.0,0,bed,0
-0.005,0.01,-0.001,-0.6218,0.3909,-0.3475,0.5827,-0.8,0.0,-0.1,0,bed,0
-0.002,0.007,-0.009,-0.6218,0.391,-0.3476,0.5827,-0.8,0.0,0.0,0,bed,0
-0.002,0.008,-0.002,-0.6217,0.3911,-0.3477,0.5826,-0.7,0.0,-0.1,0,bed,0
0.0,0.009,-0.009,-0.6216,0.3912,-0.3477,0.5826,0.0,0.0,0.0,0,bed,0
0.002,0.01,-0.001,-0.6216,0.3912,-0.3477,0.5826,0.0,0.0,0.0,0,bed,0
0.0,0.009,-0.007,-0.6216,0.3912,-0.3478,0.5826,0.0,0.0,0.0,0,bed,0
-0.002,0.014,-0.009,-0.6216,0.3912,-0.3477,0.5826,0.6,0.0,0.1,0,bed,0
-0.005,0.013,-0.003,-0.6216,0.3912,-0.3477,0.5826,0.0,0.0,0.0,0,bed,0
-0.003,0.009,-0.008,-0.6215,0.3913,-0.3477,0.5826,-0.8,-0.1,0.1,0,bed,0
-0.003,0.01,-0.006,-0.6214,0.3914,-0.3478,0.5826,-0.5,0.1,0.0,0,bed,0
-0.003,0.006,-0.003,-0.6214,0.3915,-0.3478,0.5826,-0.8,0.0,0.0,0,bed,0
-0.004,0.008,-0.006,-0.6213,0.3915,-0.3479,0.5826,-0.5,0.0,0.0,0,bed,0
-0.002,0.02,-0.007,-0.6213,0.3915,-0.3479,0.5826,0.0,0.0,0.0,0,bed,0
0.021,-0.004,0.003,-0.6213,0.3915,-0.3479,0.5826,0.0,0.0,0.0,0,bed,0
0.014,0.018,0.003,-0.6213,0.3914,-0.3479,0.5827,0.2,-0.7,0.9,0,bed,0
0.007,0.013,0.0,-0.6212,0.3913,-0.3479,0.5829,-0.3,-1.2,1.3,1023,bed,0
0.0,-0.001,0.009,-0.6209,0.3913,-0.348,0.5832,-1.2,-1.7,1.4,1023,bed,0
-0.013,-0.005,0.0,-0.6205,0.3914,-0.3482,0.5834,-2.3,-2.2,1.0,1023,bed,0
-0.006,0.01,-0.011,-0.6199,0.3917,-0.3487,0.5835,-6.0,-2.3,0.6,1023,bed,0
0.004,0.023,-0.018,-0.6192,0.3924,-0.3497,0.5832,-7.4,-1.8,0.2,1023,bed,0
0.008,0.008,-0.023,-0.6185,0.3931,-0.3507,0.5829,-5.2,-1.1,0.5,1023,bed,0
-0.001,0.004,-0.015,-0.6182,0.3934,-0.351,0.5828,-0.5,-0.4,0.7,1023,bed,0
-0.018,-0.005,-0.01,-0.6182,0.3933,-0.3509,0.583,3.5,-0.4,0.5,1023,bed,0
-0.014,0.004,-0.012,-0.6183,0.393,-0.3505,0.5833,3.6,-0.2,0.2,1023,bed,0
-0.003,0.006,-0.015,-0.6184,0.3928,-0.3502,0.5835,3.0,0.3,-0.3,1023,bed,0
0.002,0.0,-0.014,-0.6186,0.3926,-0.3499,0.5836,3.0,0.6,-0.3,1023,bed,0
0.001,0.003,-0.005,-0.6189,0.3924,-0.3496,0.5836,3.0,1.0,-0.8,1023,bed,0
0.004,0.007,-0.007,-0.6193,0.3921,-0.3493,0.5836,3.2,0.8,-0.9,1023,bed,0
0.007,0.017,-0.005,-0.6197,0.3917,-0.349,0.5836,3.2,0.6,-0.4,0,bed,0
0.006,0.013,0.002,-0.6199,0.3913,-0.3486,0.5838,3.3,0.3,0.3,0,bed,0
-0.003,0.004,0.0,-0.6201,0.391,-0.3483,0.584,2.6,0.0,0.7,0,bed,0
-0.009,0.005,-0.007,-0.6202,0.3908,-0.348,0.5842,2.1,-0.1,0.4,0,bed,0
-0.004,0.011,-0.009,-0.6203,0.3906,-0.3477,0.5844,2.9,-0.3,0.0,0,bed,0
-0.01,0.011,-0.005,-0.6204,0.3903,-0.3474,0.5847,3.5,-0.3,0.2,0,bed,0
-0.004,0.006,-0.008,-0.6205,0.39,-0.3471,0.5849,2.4,-0.5,-0.1,0,bed,0
0.0,0.007,-0.005,-0.6206,0.3897,-0.3469,0.5851,1.9,-0.8,-0.3,0,bed,0
0.006,0.016,0.003,-0.6208,0.3893,-0.3468,0.5853,2.7,-0.7,0.0,0,bed,0
0.0,0.006,0.002,-0.621,0.3889,-0.3465,0.5855,2.7,-0.5,0.1,0,bed,0
-0.01,0.0,-0.001,-0.6211,0.3886,-0.3462,0.5858,3.7,-0.4,-0.1,0,bed,0
-0.01,-0.015,-0.007,-0.6216,0.3879,-0.3456,0.5861,8.7,-0.2,-1.7,0,bed,0
-0.008,-0.017,0.009,-0.6225,0.3867,-0.3447,0.5865,12.4,0.0,-3.6,0,bed,0
0.001,-0.001,0.005,-0.6238,0.3851,-0.3438,0.5867,9.3,-0.3,-5.0,0,bed,0
0.005,0.028,0.001,-0.6249,0.3837,-0.3433,0.5867,6.5,-0.8,-5.0,0,bed,0
-0.001,0.008,-0.008,-0.6258,0.3826,-0.343,0.5867,8.3,-0.8,-4.0,0,bed,0
-0.006,-0.005,-0.005,-0.6268,0.3812,-0.3423,0.587,12.6,-0.6,-3.9,0,bed,0
0.004,-0.015,0.015,-0.6281,0.3793,-0.3412,0.5874,14.8,-0.9,-4.9,0,bed,0
0.009,-0.028,-0.004,-0.6296,0.3772,-0.3402,0.5877,15.9,-1.8,-5.8,0,bed,0
0.015,-0.032,-0.002,-0.6312,0.3748,-0.3393,0.5881,18.0,-2.1,-7.3,0,bed,0
0.012,-0.022,0.018,-0.6332,0.3718,-0.3382,0.5884,21.9,-2.6,-8.4,1023,bed,0
0.004,-0.026,0.017,-0.6355,0.3682,-0.3366,0.5891,25.8,-3.3,-8.9,1023,bed,0
-0.004,0.003,0.012,-0.6379,0.3645,-0.3349,0.5898,24.2,-3.4,-8.9,1023,bed,0
-0.007,0.026,-0.006,-0.64,0.361,-0.3335,0.5904,19.7,-4.7,-8.9,1023,bed,0
-0.016,0.009,-0.021,-0.642,0.3577,-0.3325,0.5909,22.1,-4.9,-10.3,1023,bed,0
-0.035,-0.039,-0.003,-0.6442,0.3539,-0.3311,0.5916,28.7,-7.4,-10.2,1023,bed,0
-0.007,0.004,0.044,-0.6466,0.3483,-0.3289,0.5934,45.0,-12.9,-6.4,1023,bed,0
-0.023,0.006,0.012,-0.6492,0.3417,-0.3258,0.5962,42.7,-13.5,-5.5,1023,bed,0
0.0,0.104,0.007,-0.6513,0.3354,-0.3233,0.5988,31.5,-13.8,-5.8,1023,bed,0
0.004,0.103,-0.006,-0.6529,0.3304,-0.3223,0.6004,18.1,-13.3,-7.3,1023,bed,0
0.008,0.112,-0.038,-0.6537,0.3271,-0.323,0.6009,0.0,-13.1,-8.1,1023,bed,0
0.048,0.065,-0.068,-0.6535,0.3262,-0.3262,0.5999,-17.3,-10.5,-8.9,1023,bed,0
0.075,0.057,-0.049,-0.6529,0.3269,-0.3306,0.5979,-24.2,-7.2,-8.0,1023,bed,0
0.035,0.043,-0.051,-0.652,0.3285,-0.3346,0.5957,-23.8,-3.4,-4.5,1023,bed,0
-0.036,0.016,-0.059,-0.6507,0.3307,-0.3373,0.5944,-17.2,-1.9,0.4,1023,bed,0
-0.021,0.02,-0.067,-0.6492,0.3328,-0.339,0.5938,-12.9,-2.1,3.4,1023,bed,0
0.014,-0.017,-0.038,-0.648,0.3342,-0.3405,0.5935,-8.8,-2.1,1.6,1023,bed,0
-0.002,-0.057,0.0,-0.6472,0.3351,-0.3417,0.5932,-5.0,-2.2,1.3,0,bed,0
0.0,-0.072,0.021,-0.6464,0.3357,-0.3426,0.5932,-7.5,-4.8,2.4,0,bed,0
0.028,-0.066,0.014,-0.6451,0.3362,-0.3443,0.5933,-11.5,-7.5,3.7,0,bed,0
0.044,-0.057,-0.052,-0.6431,0.3376,-0.3471,0.5931,-19.5,-8.2,6.3,0,bed,0
0.005,-0.051,-0.087,-0.6406,0.3401,-0.3503,0.5925,-21.8,-4.6,4.9,0,bed,0
-0.014,-0.047,-0.032,-0.6384,0.3428,-0.3528,0.5918,-15.5,-1.3,5.7,0,bed,0
-0.008,-0.01,-0.014,-0.6365,0.3449,-0.3538,0.592,-10.8,-1.5,11.6,0,bed,0
0.008,-0.009,-0.044,-0.6342,0.3471,-0.3542,0.5931,-10.9,0.6,20.2,0,bed,0
0.024,-0.025,-0.073,-0.6308,0.3506,-0.354,0.5947,-11.2,5.9,29.9,0,bed,0
0.047,-0.05,-0.027,-0.6272,0.355,-0.3523,0.5969,-5.8,14.7,38.0,0,bed,0
0.057,-0.103,0.079,-0.6244,0.359,-0.3479,0.6,11.3,22.8,41.0,0,bed,0
0.056,-0.055,0.124,-0.6234,0.3614,-0.3402,0.6041,29.0,30.5,42.1,0,bed,0
0.074,0.001,0.02,-0.6235,0.3629,-0.3301,0.6086,41.7,37.9,43.3,0,bed,0
0.07,0.049,-0.044,-0.6245,0.3645,-0.3182,0.613,50.5,46.7,42.7,0,bed,0
0.053,-0.033,0.11,-0.6263,0.3659,-0.3047,0.6171,52.4,51.4,41.3,0,bed,0
0.096,-0.042,0.244,-0.6282,0.367,-0.2904,0.6214,60.3,49.9,42.8,0,bed,0
0.144,0.019,0.195,-0.6297,0.368,-0.2757,0.626,57.6,48.6,43.5,1023,bed,0
0.135,-0.087,0.153,-0.6311,0.3686,-0.2609,0.6306,65.4,47.2,44.2,1023,bed,0
0.151,-0.036,0.114,-0.6327,0.368,-0.2451,0.6356,72.7,45.9,44.4,1023,bed,0
0.143,-0.041,0.069,-0.6345,0.3666,-0.2294,0.6404,73.0,42.8,39.3,1023,bed,0
0.1,-0.113,0.054,-0.6371,0.3636,-0.2149,0.6446,80.0,36.9,34.7,1023,bed,0
0.054,-0.173,0.026,-0.6404,0.3585,-0.1998,0.6491,99.1,30.5,31.6,1023,bed,0
0.097,-0.062,-0.071,-0.6444,0.3513,-0.1827,0.6541,107.8,31.7,31.3,1023,bed,0
0.049,-0.195,-0.029,-0.6485,0.3436,-0.1644,0.6589,122.7,34.1,30.5,1023,bed,0
-0.029,-0.432,0.027,-0.6551,0.3304,-0.1409,0.6646,193.2,28.9,27.4,1023,bed,0
0.025,-0.062,-0.042,-0.6648,0.3094,-0.1117,0.6706,219.3,25.3,22.1,1023,bed,0
0.054,0.233,-0.173,-0.6732,0.2904,-0.0844,0.6747,157.8,35.9,14.8,1023,bed,0
-0.027,0.098,-0.132,-0.6786,0.2806,-0.0641,0.6756,101.8,43.9,5.3,1023,bed,0
-0.039,-0.076,-0.012,-0.6831,0.2763,-0.0484,0.6742,79.2,42.3,-3.1,1023,bed,0
-0.04,-0.115,0.168,-0.6878,0.2707,-0.0349,0.6725,90.7,26.6,-6.1,1023,bed,0
0.037,0.034,0.097,-0.6932,0.2608,-0.0216,0.6714,98.2,12.7,-5.2,1023,bed,0
0.115,0.079,-0.012,-0.698,0.2503,-0.0105,0.6708,76.8,9.5,-5.0,1023,bed,0
0.13,0.048,-0.07,-0.7018,0.2421,-0.0019,0.6698,61.7,11.1,-5.6,1023,bed,0
0.046,-0.131,0.054,-0.7055,0.2357,0.0052,0.6683,64.8,10.0,-9.4,1023,bed,0
0.015,-0.111,0.085,-0.7098,0.2271,0.0142,0.6666,87.8,4.4,-9.5,0,bed,0
0.039,0.027,0.066,-0.7147,0.2157,0.0242,0.6648,91.0,0.0,-11.7,0,bed,0
0.056,0.075,-0.036,-0.7192,0.2046,0.0336,0.663,75.7,2.5,-12.6,0,bed,0
